Taxa_Name;Author;Phytobs_Taxa_Code;Phytoplankton_Group;Phylum;Class;Order;Family;Genus;Species;Life_Form;Life_Form2;Phytobs_Cell_Form;Phytobs_Ind_Form;Min_Width;Max_Width;Min_Length;max_Lenght;Cell_Biovolume;Ind_Biovolume;Carbon;Min_Size_Ind;Max_Size_Ind;Ignatiades_Size_Class;Motility;Flagellum;Nb_Flagellum;Aerotope;Contractile_Vacuole;Mucilage;Akinete;Heterocyte;Cyst;Plast;Nb_Plast;Sheath;Tractus;Siciliceous_Skeleton;Lorica;Plate;Scale;Ornamentation;Protuberance;Protuberance_Type;Protuberance_Size;Nb_Protuberance;Chlo_B;Chlo_C;Xanthophyll;Phycobilin;Toxin;Microcystin;Anatoxin-a;Anatoxin-a(S);Cylindrospermopsin;Saxitoxin;BMAA;Nutrition;Reproduction;Water_Type;Water_Trophy;Tolerance;Reynolds_Group
Monoraphidium;Komarkova-Legnerova;MONSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;;Cel.;None;Double Cone ;Double Cone ;0.5;8;3;182;50;50;8.51;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium circinale;(Nygaard) Nygaard;MONCIR;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium circinale;Cel.;None;Double Cone ;Double Cone ;1.5;4;4.5;10.5;25;25;4.44;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium contortum;(Thur.) Komárkova-Legnerova;MONCON;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium contortum;Cel.;None;Double Cone ;Double Cone ;1;5.2;7;45;113;113;18.29;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium convolutum;(Corda) Komárkova-Legnerova;MONCOV;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium convolutum;Cel.;None;Double Cone ;Double Cone ;1.4;6;3;11;67;67;11.20;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium dybowskii;(Woloszynska) Hindak & Komárek Legnerova;MONDYB;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium dybowskii;Cel.;None;Double Cone ;Double Cone ;1.2;8;4;15.5;69;69;11.51;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium griffithii;(Berkeley) Legnerova;MONGRI;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium griffithii;Cel.;None;Double Cone ;Double Cone ;1;4.5;28;110;233;233;36.09;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium irregulare;(Smith) Komarkova-Legnerova;MONIRR;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium irregulare;Cel.;None;Double Cone ;Double Cone ;1.3;5;40;150;158;158;25.06;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium komarkovae;Nygaard;MONKOM;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium komarkovae;Cel.;None;Double Cone ;Double Cone ;1.4;3.5;25;182;160;160;25.36;Microphytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;Needle;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium minutum;(Nägeli) Komárková-Legnerová;MONMIN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium minutum;Cel.;None;Double Cone ;Double Cone ;1;7.2;3.5;20;93;93;15.24;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium nanum;(Ettl) Hindák;MONNAN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium nanum;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;2.5;3.5;4;6;3;3;0.61;Nanophytoplankton;Nanophytoplankton;Picoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium pusillum;(Printz) Komárkova-Legnerova;MONPUS;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium pusillum;Cel.;None;Double Cone ;Double Cone ;1.4;7.6;12;25;205;205;32.00;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Monoraphidium tortile;(W.et G.S.West) Komárkova-Legnerova;MONTOR;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium tortile;Cel.;None;Double Cone ;Double Cone ;0.5;4;11;40;23;23;4.10;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Hypereutrophic;Stratification;X1
Mougeotia;Agardh;MOUSPX;Chlorophytes;CHAROPHYTA;ZYGNEMATOPHYCEAE;Zygnematales;Zygnemataceae;Mougeotia;;Fil.;None;Cylinder;Cylinder;3.5;40;20;340;2540;#NA;340.09;Nanophytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual-cytogamy;Freshwater;#NA;Light deficiency;T
Mougeotia gracillima;(Hassall) Wittrock;MOUGRA;Chlorophytes;CHAROPHYTA;ZYGNEMATOPHYCEAE;Zygnematales;Zygnemataceae;Mougeotia;Mougeotia gracillima;Fil.;None;Cylinder;Cylinder;5;7;55;140;1540;#NA;212.59;Microphytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual-cytogamy;Freshwater;#NA;Light deficiency;T
Mucidosphaerium pulchellum;(Wood) Bock, Proschold & Krienitz;MUCPUL;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Chlorellaceae;Mucidosphaerium;Mucidosphaerium pulchellum;Col.;None;Sphere;#NA;4;9;4;9;144;5800;22.97;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Neodesmus danubialis;Hindák;NEDDAN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Neodesmus;Neodesmus danubialis;Col.;None;Cone with half Sphere;#NA;2.5;3;7;9;32;#NA;5.59;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Nephrochlamys;Korshikov;NECSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Nephrochlamys;;Col.;Cel.;Rotationnal Ellipsoid;#NA;4;12;5;14;68;#NA;11.35;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Nephrochlamys rostrata;Nygaard;NECROS;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Nephrochlamys;Nephrochlamys rostrata;Col.;None;Rotationnal Ellipsoid;#NA;4;12;5;14;26;52;4.60;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Nephrocytium agardhianum;Nägeli;NEPAGA;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Nephrocytium;Nephrocytium agardhianum;Col.;Cel.;Rotationnal Ellipsoid;#NA;2;22;10;28;250;33500;38.56;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Nephroselmis;Stein;NESSPX;Chlorophytes;CHLOROPHYTA;NEPHROPHYCEAE;Nephroselmidales;Nephroselmidaceae;Nephroselmis;;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;7;15;6;10;111;111;17.99;Nanophytoplankton;Nanophytoplankton;Nanoplankton;1;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater-marine water;#NA;#NA;#NA
Nephroselmis olivacea;Stein;NESOLI;Chlorophytes;CHLOROPHYTA;NEPHROPHYCEAE;Nephroselmidales;Nephroselmidaceae;Nephroselmis;Nephroselmis olivacea;Cel.;None;Rotationnal Ellipsoid;Rotationnal Ellipsoid;7;15;6;10;208;208;32.44;Nanophytoplankton;Nanophytoplankton;Nanoplankton;1;1;2;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Oedogonium;Link;OEDSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Oedogoniales;Oedogoniaceae;Oedogonium;;Fil.;None;Cylinder;Cylinder;6;56;17;200;962;1590;136.66;Nanophytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual-oogamy;Freshwater;#NA;#NA;#NA
Oocystis;Nägeli;OOCSPX;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;;Col.;Cel.;Rotationnal Ellipsoid;#NA;1.5;32.5;3.2;77;240;960;37.11;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater-marine water;Meso-eutrophic;Low nutrients;F
Oocystis borgei;Snow;OOCBOR;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis borgei;Col.;Cel.;Rotationnal Ellipsoid;#NA;6;20;9;20;800;#NA;114.94;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;1;0;0;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Oocystis elliptica;W. West;OOCELL;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis elliptica;Col.;None;Rotationnal Ellipsoid;#NA;6.8;16.5;11;25;1313.6;#NA;183.10;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;1;0;0;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Oocystis lacustris;Chodat;OOCLAC;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis lacustris;Col.;None;Rotationnal Ellipsoid;#NA;1.5;10;4;15;106;285;17.23;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Oocystis marssonii;Lemmermann;OOCMAR;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis marssonii;Col.;Cel.;Rotationnal Ellipsoid;#NA;4;14.4;6.4;20.8;266;#NA;40.87;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Oocystis naegelii;Braun;OOCNAE;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis naegelii;Cel.;Col.;Rotationnal Ellipsoid;Rotationnal Ellipsoid;10;26;12;38;5487;5487;700.95;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater-marine water;Meso-eutrophic;Low nutrients;F
Oocystis parva;W.et G.S.West;OOCPAR;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis parva;Col.;Cel.;Rotationnal Ellipsoid;#NA;1.5;10;3.2;17;63;252;10.57;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;1;0;0;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Oocystis rhomboidea;Fott;OOCRHO;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis rhomboidea;Col.;Cel.;Rotationnal Ellipsoid;#NA;2.5;3.5;5;10;58;123;9.78;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Meso-eutrophic;Low nutrients;F
Oocystis solitaria;Wittrock;OOCSOL;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Oocystis;Oocystis solitaria;Cel.;Col.;Rotationnal Ellipsoid;Rotationnal Ellipsoid;3;29.7;7;52.8;1050;1050;148.37;Nanophytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;1;0;0;1;>2;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Pandorina morum;Bory;PADMOR;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Volvocaceae;Pandorina;Pandorina morum;Col.;None;Rotationnal Ellipsoid;#NA;8;17;8;17;713;28300;103.16;Nanophytoplankton;Microphytoplankton;Microplankton;1;1;2;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Sexual and asexual;Freshwater;Eutrophic;High light and nutrient content;G
Pediastrum angulosum;(Ehrenberg) ex. Meneghini;PEDANG;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Hydrodictyaceae;Pediastrum;Pediastrum angulosum;Col.;None;#NA;Cylinder;7;23;11;27;759;#NA;109.40;Nanophytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;Cone;Small;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
Pediastrum duplex;Meyen;PEDDUP;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Hydrodictyaceae;Pediastrum;Pediastrum duplex;Col.;None;#NA;Cylinder;4;26;4;30;810;35000;116.28;Nanophytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;Cone;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
Phacotus lendneri;Chodat;PHTLED;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Phacotaceae;Phacotus;Phacotus lendneri;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;13;20;13;20;410;410;61.36;Nanophytoplankton;Nanophytoplankton;Nanoplankton;1;1;2;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;Calcium richness;Xph
Phacotus lenticularis;(Ehrenberg) Stein;PHTLEN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Phacotaceae;Phacotus;Phacotus lenticularis;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;13;20;13;20;410;410;61.36;Nanophytoplankton;Nanophytoplankton;Nanoplankton;1;1;2;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;Calcium richness;Xph
Planctonema lauterbornii;Schmidle;PLNLAU;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Planctonema;Planctonema lauterbornii;Fil.;None;Cylinder;Cylinder;2.5;5;5;15;144;402;22.97;Nanophytoplankton;Mesophytoplankton;Nanoplankton;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater-marine water;#NA;Light deficiency;T
Planktosphaeria gelatinosa;Smith;PLKGEL;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Schizochlamydaceae;Planktosphaeria;Planktosphaeria gelatinosa;Col.;Cel.;Sphere;#NA;4;30;4;30;904;#NA;128.91;Nanophytoplankton;Microphytoplankton;Microplankton;1;1;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Pseudodidymocystis;Hegewald & Deason;PSDSPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Pseudodidymocystis;;Col.;None;Rotationnal Ellipsoid;#NA;1.6;6.5;4.3;12;53.5;#NA;9.07;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Pseudodidymocystis fina;(Komárek) Hegewald & Deason;PSDFIN;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Pseudodidymocystis;Pseudodidymocystis fina;Col.;None;Rotationnal Ellipsoid;#NA;1.6;2.8;4.3;7;14;28;2.57;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Pseudodidymocystis planctonica;(Korshikov) Hegewald & Deason;PSDPLA;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Scenedesmaceae;Pseudodidymocystis;Pseudodidymocystis planctonica;Col.;None;Rotationnal Ellipsoid;#NA;2.4;6.5;6;12;93;186;15.24;Nanophytoplankton;Nanophytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Pseudopediastrum boryanum;(Turpin) Hegewald;PPEBOR;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Hydrodictyaceae;Pseudopediastrum;Pseudopediastrum boryanum;Col.;None;#NA;Cylinder;6;21;6;26;768;12280;110.61;Nanophytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;Cone;Small;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
Pseudopediastrum boryanum var. longicorne;(Reinsch) Tsarenko;PPEBLO;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Hydrodictyaceae;Pseudopediastrum;Pseudopediastrum boryanum;Col.;None;#NA;Cylinder;4;22.5;5;27;768;12280;110.61;Nanophytoplankton;Mesophytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;Cone;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;Eutrophic;High nutrient content;J
Pseudoschroederia robusta;(Korshikov) Hegewald & Schnepf;PSCROB;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Characiaceae;Pseudoschroederia;Pseudoschroederia robusta;Cel.;None;Double Cone ;Double Cone ;3;8;30;140;181;181;28.47;Microphytoplankton;Microphytoplankton;Nanoplankton;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;Needle;Large;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;Hypereutrophic;Stratification;X1
Pteromonas;Seligo;PTESPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Chlamydomonodales;Phacotaceae;Pteromonas;;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;5;37;11;35;690;690;100.03;Nanophytoplankton;Microphytoplankton;Nanoplankton;1;1;2;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;Needle;Small;2;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Sexual and asexual;Freshwater;#NA;#NA;#NA
Pyramidomonas;Stein;PYASPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Volvocales;#NA;Pyramidomonas;;Cel.;None;Flattened Ellipsoid;Flattened Ellipsoid;7.5;18;8.8;27;2003;2003;272.10;Nanophytoplankton;Microphytoplankton;Microplankton;1;1;4;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Mixotrophic;Asexual;Freshwater;#NA;#NA;#NA
Quadricoccus ellipticus;Hortobágyi Agardh;QUDELL;Chlorophytes;CHLOROPHYTA;TREBOUXIOPHYCEAE;Chlorellales;Oocystaceae;Quadricoccus;Quadricoccus ellipticus;Col.;None;Rotationnal Ellipsoid;#NA;3;3.6;8;10;919;9500;130.92;Nanophytoplankton;Nanophytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Quadrigula;Printz;QUASPX;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Quadrigula;;Col.;None;Double Cone ;#NA;1.7;7;10;80;205;#NA;32.00;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Quadrigula chodatii;(Tann. Fullem.) Smith;QUACHO;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Quadrigula;Quadrigula chodatii;Col.;None;Double Cone ;#NA;3.5;7;30;80;561;#NA;82.36;Microphytoplankton;Microphytoplankton;Microplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
Quadrigula closterioides;(Bohlin) Printz;QUACLO;Chlorophytes;CHLOROPHYTA;CHLOROPHYCEAE;Sphaeropleales;Selenastraceae;Quadrigula;Quadrigula closterioides;Col.;None;Double Cone ;#NA;2;6;20;30;68;#NA;11.35;Nanophytoplankton;Microphytoplankton;Nanoplankton;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;None;None;0;1;0;1;0;0;0;0;0;0;0;0;Autotrophic;Asexual;Freshwater;#NA;#NA;#NA
